"urbrur","roof","walls","water","electcon","relat","sex","age","hhcivil","expend","income","savings","ori_hid","sampling_weight","household_weights"
"1",2,"4","3",3,1,1,"1",46,2,90929693,57800000,116258.5,1,100,25
"2",2,"4","3",3,1,2,"2",41,2,27338058,25300000,279345,1,100,25
"3",2,"4","3",3,1,3,"1",9,1,26524717,69200000,5495381,1,100,25
"4",2,"4","3",3,1,3,"1",6,1,18073948,79600000,8695862,1,100,25
"5",2,"4","2",3,1,1,"1",52,2,6713247,90300000,203620.2,2,100,16.6666666666667
"6",2,"4","2",3,1,2,"2",47,2,49057636,32900000,1021268,2,100,16.6666666666667
"7",2,"4","2",3,1,3,"2",13,1,63386309,22700000,8119166,2,100,16.6666666666667
"8",2,"4","2",3,1,3,"2",19,1,1106874,89100000,9881406,2,100,16.6666666666667
"9",2,"4","2",3,1,3,"1",9,1,32659507,2087324,7043642,2,100,16.6666666666667
"10",2,"4","2",3,1,3,"2",16,1,34347609,44100000,4783134,2,100,16.6666666666667
"11",2,"4","3",3,1,1,"1",65,2,71883547,55500000,7942221,3,100,33.3333333333333
"12",2,"4","3",3,1,2,"2",60,2,55174345,41200000,4318171,3,100,33.3333333333333
"13",2,"4","3",3,1,5,"2",6,1,46002021,99600000,2680967,3,100,33.3333333333333
"14",2,"4","3",3,1,1,"1",34,2,33042094,98400000,3662611,4,100,33.3333333333333
"15",2,"4","3",3,1,2,"2",31,2,22328588,68900000,6668614,4,100,33.3333333333333
"16",2,"4","3",3,1,3,"1",3,1,49958473,45600000,8158939,4,100,33.3333333333333
"17",2,"4","2",3,1,1,"1",40,2,57681859,42800000,7296617,5,100,25
"18",2,"4","2",3,1,2,"2",40,2,67311078,93200000,3944082,5,100,25
"19",2,"4","2",3,1,3,"2",9,1,55539882,27900000,8443666,5,100,25
"20",2,"4","2",3,1,3,"1",16,1,25734672,28500000,9693944,5,100,25
"21",2,"4","3",3,1,1,"1",44,2,36358184,7954067,7859047,6,100,25
"22",2,"4","3",3,1,2,"2",37,2,83713597,39900000,2553958,6,100,25
"23",2,"4","3",3,1,3,"2",7,1,61897713,7.3e+07,4009506,6,100,25
"24",2,"4","3",3,1,3,"1",12,1,34961268,2.7e+07,4759842,6,100,25
"25",2,"4","3",3,1,1,"1",48,2,9420392,40700000,4475361,7,100,20
"26",2,"4","3",3,1,2,"2",44,2,77497888,34900000,740693.9,7,100,20
"27",2,"4","3",3,1,3,"1",18,1,48939189,47600000,3714573,7,100,20
"28",2,"4","3",3,1,3,"2",12,1,97017229,42200000,3463473,7,100,20
"29",2,"4","3",3,1,3,"2",15,1,11868274,25300000,1529327,7,100,20
"30",2,"4","3",3,1,1,"1",36,2,68375093,55700000,2902164,8,100,25
"31",2,"4","3",3,1,2,"2",33,2,52733445,5118250,4901132,8,100,25
"32",2,"4","3",3,1,3,"2",9,1,20309721,86300000,3642626,8,100,25
"33",2,"4","3",3,1,3,"1",6,1,65394360,10800000,1839611,8,100,25
"34",2,"4","3",1,1,1,"1",59,2,2791222,88600000,8062851,9,100,10
"35",2,"4","3",1,1,2,"2",51,2,19424525,26900000,6309563,9,100,10
"36",2,"4","3",1,1,3,"1",22,1,45431724,59500000,6431793,9,100,10
"37",2,"4","3",1,1,3,"1",16,1,53560221,13200000,427410.9,9,100,10
"38",2,"4","3",1,1,3,"2",19,1,92403102,29300000,4971446,9,100,10
"39",2,"4","3",1,1,3,"2",12,1,91258132,91700000,2931037,9,100,10
"40",2,"4","3",1,1,3,"2",14,1,37196970,65300000,6715666,9,100,10
"41",2,"4","3",1,1,7,"2",23,1,35427883,9.6e+07,2129592,9,100,10
"42",2,"4","3",1,1,7,"2",20,1,68607271,66600000,8803735,9,100,10
"43",2,"4","3",1,1,7,"1",30,1,84123951,90500000,11751.2,9,100,10
"44",2,"4","3",3,1,1,"1",38,2,24750416,43700000,8390189,10,100,20
"45",2,"4","3",3,1,2,"2",36,2,56738675,40500000,8966577,10,100,20
"46",2,"4","3",3,1,3,"1",11,1,65574348,93700000,716037.8,10,100,20
"47",2,"4","3",3,1,3,"2",5,1,40019193,75600000,4549277,10,100,20
"48",2,"4","3",3,1,3,"1",8,1,80637676,96400000,3519492,10,100,20
"49",2,"4","2",7,1,1,"1",32,2,66193783,72800000,8020399,11,100,25
"50",2,"4","2",7,1,2,"2",30,2,79953283,26200000,5065633,11,100,25
"51",2,"4","2",7,1,3,"2",8,1,94067627,91100000,8244469,11,100,25
"52",2,"4","2",7,1,3,"1",4,1,34531757,7.9e+07,4958571,11,100,25
"53",2,"4","3",3,1,1,"1",45,2,84187657,49600000,4558041,12,100,20
"54",2,"4","3",3,1,2,"2",40,2,5066563,56300000,4080275,12,100,20
"55",2,"4","3",3,1,3,"2",8,1,2138882,3.5e+07,6513390,12,100,20
"56",2,"4","3",3,1,3,"1",15,1,47763899,6.9e+07,5056371,12,100,20
"57",2,"4","3",3,1,3,"2",13,1,89365751,24700000,6937213,12,100,20
"58",2,"4","3",3,1,1,"1",30,2,37693641,71400000,9786544,13,100,33.3333333333333
"59",2,"4","3",3,1,2,"2",25,2,19899981,52500000,2642470,13,100,33.3333333333333
"60",2,"4","3",3,1,3,"1",5,1,96030033,37600000,5176430,13,100,33.3333333333333
"61",2,"4","3",3,1,1,"1",42,2,58683580,87700000,6862255,14,100,16.6666666666667
"62",2,"4","3",3,1,2,"2",40,2,94966912,7134911,6949438,14,100,16.6666666666667
"63",2,"4","3",3,1,3,"2",10,1,72167605,3567311,973728.5,14,100,16.6666666666667
"64",2,"4","3",3,1,3,"1",16,1,2473392,48600000,255141.5,14,100,16.6666666666667
"65",2,"4","3",3,1,3,"2",13,1,22445922,94200000,1138059,14,100,16.6666666666667
"66",2,"4","3",3,1,3,"2",6,1,35504860,59800000,6435686,14,100,16.6666666666667
"67",2,"2","3",3,1,1,"1",60,4,24874781,24500000,351444.3,15,100,100
"68",2,"4","3",3,1,1,"1",57,2,90460974,3.5e+07,5329401,16,100,33.3333333333333
"69",2,"4","3",3,1,2,"2",50,2,92221338,9.9e+07,711521.4,16,100,33.3333333333333
"70",2,"4","3",3,1,3,"1",20,1,8058844,12400000,1328432,16,100,33.3333333333333
"71",2,"4","3",3,1,1,"1",47,2,40962464,70400000,5961315,17,100,20
"72",2,"4","3",3,1,2,"2",44,2,39441389,19300000,2372390,17,100,20
"73",2,"4","3",3,1,3,"1",16,1,38314617,28200000,4668784,17,100,20
"74",2,"4","3",3,1,3,"1",13,1,26058695,4050635,5631794,17,100,20
"75",2,"4","3",3,1,3,"1",10,1,38714838,6.4e+07,1413986,17,100,20
"76",2,"4","3",3,1,1,"1",44,2,88250488,2897.484,1874138,18,100,16.6666666666667
"77",2,"4","3",3,1,2,"2",29,2,58585072,85600000,3367068,18,100,16.6666666666667
"78",2,"4","3",3,1,3,"1",5,1,44659314,51300000,3225517,18,100,16.6666666666667
"79",2,"4","3",3,1,3,"1",8,1,73629957,77100000,3182112,18,100,16.6666666666667
"80",2,"4","3",3,1,3,"2",11,1,29501465,33300000,3530535,18,100,16.6666666666667
"81",2,"4","3",3,1,3,"2",2,1,30711830,43800000,9911199,18,100,16.6666666666667
"82",2,"2","3",3,1,1,"2",60,4,21789907,32700000,5219907,19,100,100
"83",2,"4","3",3,1,1,"1",33,2,11680658,20600000,4176456,20,100,20
"84",2,"4","3",3,1,2,"2",29,2,62747049,5.5e+07,2809549,20,100,20
"85",2,"4","3",3,1,3,"1",4,1,30759749,5.8e+07,8260203,20,100,20
"86",2,"4","3",3,1,3,"1",7,1,30447373,36700000,2435160,20,100,20
"87",2,"4","3",3,1,3,"1",9,1,82498211,35300000,5314246,20,100,20
"88",2,"4","3",3,1,1,"1",60,2,88190061,8523934,1572284,21,100,25
"89",2,"4","3",3,1,2,"2",57,2,98685205,39100000,6027880,21,100,25
"90",2,"4","3",3,1,5,"1",7,1,53563392,34200000,6138077,21,100,25
